,sentence_id,words,labels
4515,2225,(,O
11740,1187,Coronel,B-LOC
8824,610,Uru,B-LOC
10352,918,pusapuna,O
517,2355,Pakaya-Samirya,B-LOC
5710,7,',O
11056,1051,Waqanki,B-ORG
3383,2004,mama,I-ORG
11641,1169,Mejor,O
802,446,suyu,I-LOC
10978,1035,Puka,B-LOC
9655,781,',O
56,112,llaqta,I-ORG
4430,2208,hatun,I-ORG
13245,1483,Ferreyra,I-PER
11185,1077,.,O
4031,2131,',O
6902,238,6-I-1852,O
1476,1629,Hayt'ay,I-ORG
10400,925,",",O
9864,824,Andrés,I-PER
287,1900,parki,I-LOC
4494,2220,',O
3844,2097,Hatun,B-LOC
12702,1377,Amadeus,I-PER
11500,1138,),I-LOC
2362,1803,parki,I-ORG
10913,1021,',O
13700,1574,Juan,B-PER
13793,1594,macularius,O
11549,1148,.,O
10768,995,',O
12961,1426,Cuvierpa,I-PER
6691,197,PUSAPUNA,O
5629,2444,Gonzalo,B-PER
2940,1912,Rosario,B-LOC
5353,2387,.,O
7070,272,suyu,I-LOC
9826,816,Markus,I-ORG
11538,1147,pusapuna,O
6002,65,Limamanta,I-PER
7008,260,mayu,I-LOC
13004,1433,Hayt'ay,I-ORG
7156,287,Kupa,I-ORG
9224,691,suyu,I-LOC
868,568,Pachantin,I-ORG
5757,17,distritu,I-LOC
11481,1136,Sneijder,I-PER
10142,876,pruwinsya,I-LOC
5146,2349,de,I-PER
1684,1665,",",O
2736,1873,-,O
8584,562,',O
2478,1828,Carvalho,I-PER
13776,1591,Waruchiri,B-LOC
10749,991,',O
1642,1659,Jiechi,I-PER
6782,215,amachana,I-LOC
5325,2384,pruwinsya,I-LOC
4920,2305,kusituy,I-ORG
6867,231,Llankanati,B-ORG
3959,2118,Universitario,B-ORG
6479,158,Cajas,B-LOC
6016,69,',O
5448,2406,Bahuaja-Sonene,B-ORG
12524,1342,),I-LOC
6941,245,Chila,B-ORG
9120,672,.,O
10459,936,yachayninkunata,O
13182,1472,',O
1935,1715,Kupa,I-ORG
13043,1440,),O
13062,1444,de,I-LOC
13258,1486,mama,I-ORG
5033,2326,Krus,I-LOC
10415,927,Chiqap,B-ORG
10345,916,.,O
2326,1795,Kunti,I-LOC
8011,447,suyu,I-LOC
8251,498,(,O
12768,1388,Andrés,I-PER
2536,1839,Balta,I-PER
6738,207,',O
12044,1251,.,O
6495,160,pruwinsya,I-LOC
12356,1309,distritu,I-LOC
9265,698,risirwa,I-ORG
3925,2112,mamallaqta,I-LOC
5769,18,Pichincha,B-LOC
975,790,Mama,B-ORG
11077,1055,Paul,B-PER
9225,691,",",O
2827,1890,Sunturnin,I-ORG
8840,614,Sika,B-LOC
6488,159,",",O
13909,1617,de,I-PER
11255,1090,Waqllisqan,I-ORG
13435,1521,suyu,I-LOC
9944,840,de,I-ORG
5468,2411,Piluta,B-ORG
5313,2382,sallqa,I-ORG
8260,499,Cedrela,O
6607,181,***,O
13032,1439,Chururu,B-LOC
2610,1853,(,I-LOC
12174,1276,Kupa,I-ORG
11370,1110,',O
11896,1218,.,O
9971,846,Antikuna,B-LOC
12160,1274,Hayt'ay,I-ORG
2699,1867,nirqan,O
3545,2038,Milan,I-ORG
5255,2371,1982-1985,O
8248,497,),I-LOC
3780,2086,",",O
1334,1446,.,O
1618,1654,Guzmán,I-PER
5382,2394,',O
7642,376,Turner,I-PER
10878,1016,.,O
229,1811,Antonio,B-PER
1354,1501,Piluta,B-ORG
9355,718,.,O
12395,1317,',O
12587,1356,XVI,I-PER
7201,295,.,O
12936,1420,Hayt'ay,I-ORG
12167,1275,(,O
13385,1511,Baldivieso,I-LOC
7154,287,Hayt'ay,I-ORG
6179,100,Youri,B-PER
2271,1782,2006,I-ORG
1578,1647,1970,I-ORG
12454,1328,José,B-PER
9788,809,allqu,I-LOC
8511,548,6.025,O
12894,1410,2006,I-ORG
4679,2256,',O
3663,2061,Pachantin,I-ORG
8615,567,",",O
11382,1115,),O
2721,1871,',O
13531,1539,Suntur,I-ORG
521,2366,Piluta,B-ORG
11076,1054,',O
715,257,VI,I-PER
8309,507,Pariwanakuna,B-LOC
2701,1867,manam,O
11010,1041,',O
1589,1649,.,O
3639,2057,',O
13059,1443,',O
10954,1029,),O
7626,374,Neves,I-PER
6020,69,.,O
8937,633,de,O
5227,2365,Piluta,B-ORG
8813,608,Piluta,B-ORG
5718,8,22,O
1444,1624,',O
